"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"184","Jake Briningstool (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"185","Jackson Hawes (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"186","Gee Scott Jr. (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"187","Rivaldo Fairweather (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"188","Luke Lachey (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"189","Joshua Simon (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"190","Elijah Arroyo (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.9%"
"191","Teagan Quitoriano (ATL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"192","Nick Muse (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"193","Cameron Latu (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"194","Ko Kieft (TB)","0","0","0","0","0","0","0","0","0","0","0","17","0.0","0.0","0.0%"
"195","Cole Turner (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"196","Jelani Woods (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"197","Justin Shorter (LV)","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"198","Donald Parham Jr. (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"199","Drake Dunsmore (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"200","Dominique Curry (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"201","Jordan Matthews (FA)","0","1","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"202","Derek Fine (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"203","J.P. Foschi (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
